Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
COMPACT,2.0,4,AS5,Z,9.9,6.7,8.5,33,196
COMPACT,2.4,4,M6,Z,11.2,7.7,9.6,29,221
COMPACT,1.5,4,AV7,Z,6.0,5.8,5.9,48,136
SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,11.1,25,255
SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,27,244
MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10.0,28,230
MID-SIZE,3.5,6,AS6,Z,11.8,8.1,10.1,28,232
MID-SIZE,3.7,6,AS6,Z,12.8,9.0,11.1,25,255
MID-SIZE,3.7,6,M6,Z,13.4,9.5,11.6,24,267
COMPACT,2.4,4,AS5,Z,10.6,7.5,9.2,31,212
COMPACT,2.4,4,M6,Z,11.2,8.1,9.8,29,225
COMPACT,3.5,6,AS5,Z,12.1,8.3,10.4,27,239
TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,193
MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359
SUBCOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359
TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354
TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354
MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359
COMPACT,2.0,4,AV8,Z,9.9,7.4,8.8,32,202
COMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230
COMPACT,2.0,4,M6,Z,10.8,7.5,9.3,30,214
SUBCOMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230
SUBCOMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230
SUBCOMPACT,2.0,4,M6,Z,10.8,7.5,9.3,30,214
MID-SIZE,2.0,4,AS8,Z,12.0,8.1,10.2,28,235
MID-SIZE,3.0,6,AS8,Z,12.8,8.6,10.9,26,251
MID-SIZE,3.0,6,AS8,D,9.8,6.2,8.1,35,217
MID-SIZE,3.0,6,AS8,Z,13.3,8.5,11.2,25,262
MID-SIZE,3.0,6,AS8,D,9.8,6.2,8.1,35,217
MID-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258
MID-SIZE,4.0,8,AS8,Z,13.7,8.3,11.3,25,265
MID-SIZE,3.0,6,AS8,D,9.8,6.5,8.4,34,224
FULL-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258
FULL-SIZE,4.0,8,AS8,Z,14.7,9.7,12.5,23,288
FULL-SIZE,6.3,12,AS8,Z,18.7,11.5,15.5,18,363
FULL-SIZE,3.0,6,AS8,D,9.8,6.5,8.4,34,224
STATION WAGON - SMALL,2.0,4,AS8,Z,11.8,8.8,10.5,27,242
SUV - SMALL,2.0,4,AS8,Z,12.0,8.5,10.4,27,239
SUV - SMALL,3.0,6,AS8,Z,12.9,9.2,11.2,25,258
SUV - SMALL,3.0,6,AS8,D,10.2,7.8,9.0,31,244
SUV - SMALL,2.0,4,AS8,Z,9.9,8.3,9.2,31,212
SUV - STANDARD,3.0,6,AS8,Z,15.1,10.9,13.2,21,304
SUV - STANDARD,3.0,6,AS8,D,12.4,8.7,10.7,26,290
TWO-SEATER,4.2,8,A7,Z,17.6,11.0,14.6,19,336
TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407
TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347
TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409
TWO-SEATER,4.2,8,A7,Z,17.6,11.0,14.6,19,336
TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407
TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347
TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409
SUBCOMPACT,4.2,8,A7,Z,15.3,10.9,13.3,21,306
SUBCOMPACT,4.2,8,A7,Z,15.2,11.3,13.4,21,308
MID-SIZE,4.0,8,AS8,Z,15.5,8.8,12.5,23,293
COMPACT,3.0,6,A7,Z,13.2,9.2,11.4,25,262
COMPACT,3.0,6,M6,Z,14.6,9.8,12.4,23,285
SUBCOMPACT,3.0,6,A7,Z,13.2,9.2,11.4,25,262
SUBCOMPACT,3.0,6,M6,Z,14.6,9.8,12.4,23,285
SUBCOMPACT,3.0,6,A7,Z,13.3,9.5,11.6,24,267
MID-SIZE,4.0,8,A7,Z,14.2,9.7,12.2,23,281
MID-SIZE,4.0,8,A7,Z,14.2,9.7,12.2,23,281
MID-SIZE,4.0,8,AS8,Z,15.8,9.2,12.8,22,300
SUV - SMALL,3.0,6,AS8,Z,14.9,10.1,12.7,22,292
SUBCOMPACT,2.0,4,A6,Z,10.4,7.6,9.1,31,209
TWO-SEATER,2.0,4,A6,Z,10.4,7.6,9.1,31,209
SUBCOMPACT,2.0,4,A6,Z,11.5,8.8,10.3,27,237
TWO-SEATER,2.0,4,A6,Z,11.5,8.8,10.3,27,237
SUBCOMPACT,4.0,8,AS8,Z,16.3,9.8,13.4,21,314
